elapsed,transform.translation.x,transform.translation.y,transform.translation.z
10.364223478,0.00949046,0.095,0.105
10.564934571,0.00949046,0.095,0.105
10.763899982,0.00949046,0.095,0.105
10.963869748,0.00949046,0.095,0.105
11.163816602,0.00949046,0.095,0.105
11.364032637,0.00949046,0.095,0.105
11.564051493,0.00949046,0.095,0.105
11.764063055,0.00949046,0.095,0.105
11.963671999,0.00949046,0.095,0.105
12.164145155,0.00949046,0.095,0.105
12.363908324,0.00949046,0.095,0.105
12.564032176,0.00949046,0.095,0.105
12.763717806,0.00949046,0.095,0.105
12.963730091,0.00949046,0.095,0.105
13.163732793,0.00949046,0.095,0.105
13.364284136,0.00949046,0.095,0.105
13.56410709,0.00949046,0.095,0.105
13.764043836,0.00949046,0.095,0.105
13.964269873,0.00949046,0.095,0.105
14.163797903,0.00949046,0.095,0.105
14.363693331,0.00949046,0.095,0.105
14.563685375,0.00949046,0.095,0.105
14.763891133,0.00949046,0.095,0.105
14.963879111,0.00949046,0.095,0.105
15.163946379,0.00949046,0.095,0.105
15.366126373,0.00949046,0.095,0.105
15.563777275,0.00949046,0.095,0.105
15.765686583,0.00949046,0.095,0.105
15.964007274,0.00949046,0.095,0.105
16.16371549,0.00949046,0.095,0.105
16.366148673,0.00949046,0.095,0.105
16.56408379,0.00949046,0.095,0.105
16.764431467,0.00949046,0.095,0.105
16.963717969,0.00949046,0.095,0.105
17.163737889,0.00949046,0.095,0.105
17.364115811,0.00949046,0.095,0.105
17.564377591,0.00949046,0.095,0.105
17.765236291,0.00949046,0.095,0.105
17.963924001,0.00949046,0.095,0.105
18.164085852,0.00949046,0.095,0.105
18.364294723,0.00949046,0.095,0.105
18.563953723,0.00949046,0.095,0.105
18.764025098,0.00949046,0.095,0.105
18.96368812,0.00949046,0.095,0.105
19.163710039,0.00949046,0.095,0.105
19.36483816,0.00949046,0.095,0.105
19.563700079,0.00949046,0.0950000000001,0.105
19.763667012,0.00949045999999,0.0950000000003,0.105
19.963939485,0.00949045999999,0.095000000001,0.105
20.163658281,0.00949046000002,0.0950000000038,0.105
20.363817317,0.0094904600003,0.0950000000144,0.105
20.56432663,0.00949045999998,0.095000000054,0.104999999999
20.763938955,0.00949045999866,0.0950000002013,0.104999999991
20.963935848,0.00949045999867,0.0950000007503,0.104999999937
21.163827198,0.00949046000054,0.0950000017987,0.104999999767
21.36366643,0.00949046010092,0.0950000102737,0.104999996743
21.564062549,0.00949046070908,0.095000035588,0.104999976753
21.763673481,0.00949045982413,0.0950000427916,0.104999951241
21.964036013,0.00949045997995,0.0950000418512,0.104999951097
22.16373073,0.00949045997995,0.0950000418512,0.104999951097
22.363985978,0.00949045997995,0.0950000418512,0.104999951097
22.563908369,0.00949045997995,0.0950000418512,0.104999951097
22.76369993,0.0100815637376,0.0949014736915,0.10556979246
22.964168093,0.069932832159,0.0848899962802,0.139709740713
23.163819121,0.161580252839,0.0695666522983,0.155182522098
23.363879793,0.249558879128,0.0548618361354,0.149430686842
23.563882661,0.298284392312,0.0467192887466,0.109894191688
23.763981221,0.298380921432,0.0467043835986,0.105000495761
23.963923886,0.298381215007,0.0467045065582,0.105000460735
24.16465593,0.298381215007,0.0467045065582,0.105000460735
24.364678717,0.298381215007,0.0467045065582,0.105000460735
24.563842623,0.298381215007,0.0467045065582,0.105000460735
24.763781266,0.2983809153,0.046704663307,0.104999796321
24.963711202,0.30035804053,0.0463311136573,0.107056651977
25.16378779,0.365601742039,0.0340039177351,0.144952229311
25.363836342,0.488727200983,0.0107499742082,0.153631460233
25.563827969,0.550539769637,-0.000921519456753,0.116309341691
25.764036848,0.552007838324,-0.00119710253435,0.105000556314
25.964108077,0.552008185354,-0.00119694895343,0.10500044987
26.163797174,0.552008185354,-0.00119694895344,0.10500044987
26.363691517,0.552008185354,-0.00119694895344,0.10500044987
26.566732298,0.552008185354,-0.00119694895344,0.10500044987
26.764378193,0.552008185354,-0.00119694895344,0.10500044987
26.964175083,0.552183513241,-0.0012330681975,0.105199906004
27.163712503,0.597841549831,-0.0107829711845,0.136683549863
27.36387056,0.754449706743,-0.0435246668093,0.151189476137
27.566492783,0.803204976814,-0.053715142756,0.11180854624
27.764230734,0.803521341209,-0.0537798829046,0.105000503842
27.963989856,0.803521649219,-0.0537797354148,0.105000433394
28.164200438,0.803521649219,-0.0537797354148,0.105000433394
28.364349078,0.803521649219,-0.0537797354148,0.105000433394
28.5671338,0.803521649219,-0.0537797354148,0.105000433394
28.766329078,0.803521649219,-0.0537797354148,0.105000433394
28.965768601,0.803521017689,-0.0537790194928,0.105000279318
29.16366873,0.81204126494,-0.0557236345568,0.113625355728
29.363819529,0.97062805322,-0.0918947166392,0.154432132487
29.56380865,1.0332925585,-0.106183691955,0.119039959171
29.763825588,1.03563331592,-0.106715782277,0.105000487253
29.964206668,1.03563363646,-0.106715595481,0.105000346374
30.163791663,1.03563363646,-0.106715595481,0.105000346374
30.363839996,1.03563363646,-0.106715595481,0.105000346374
30.563951657,1.03563363646,-0.106715595481,0.105000346374
30.76372135,1.03563363646,-0.106715595481,0.105000346374
30.964265211,1.03564182525,-0.10671720182,0.105037314423
31.163747445,1.0457553723,-0.109140571886,0.133534834106
31.363700501,1.06507630483,-0.113765248317,0.154315223264
31.563829548,1.09806447814,-0.121664475916,0.127951576586
31.76394298,1.10013514796,-0.122158641409,0.105000086947
31.964066067,1.1001352219,-0.122158542757,0.105000130542
32.164194318,1.10013533363,-0.122158415498,0.105000120876
32.36435082,1.10013533363,-0.122158415498,0.105000120876
32.563954221,1.10013531405,-0.122158334254,0.105000099703
32.763919367,1.11748177499,-0.126394861503,0.12803835398
32.964118752,1.16181473254,-0.137217474566,0.108585772661
33.163697599,1.16181587938,-0.137216527172,0.105000022455
33.363896622,1.16181598261,-0.137216426788,0.105000007488
33.563936075,1.16181598261,-0.137216426788,0.105000007488
33.764008986,1.16181598261,-0.137216426788,0.105000007488
33.963733879,1.16181587597,-0.137216165551,0.105000013738
34.164021711,1.17196932992,-0.139758899434,0.119517462917
34.363736056,1.23413406697,-0.155314178544,0.144284166989
34.564045161,1.26672804432,-0.163469781267,0.111502858192
34.764187866,1.26677591364,-0.163480494929,0.105000140268
34.963841819,1.26677591364,-0.163480494929,0.105000140268
35.163894703,1.26677591635,-0.163480396892,0.105000144988
35.364362523,1.2940355683,-0.170435804312,0.126528466458
35.564023024,1.29839924841,-0.171548770925,0.104999983754
35.764153464,1.29839930821,-0.171548729489,0.105000005914
35.964415212,1.29839931402,-0.171548681242,0.105000003191
36.164511873,1.31491654813,-0.175797345889,0.124732938237
36.364634953,1.32494782549,-0.178376616211,0.10499998386
36.563744338,1.32494787855,-0.178376580327,0.10499998763
36.763835888,1.32494787855,-0.178376580327,0.10499998763
36.964045099,1.34457611385,-0.184034682975,0.12341725009
37.164170216,1.34801790018,-0.185026405381,0.10499998022
37.364108067,1.34801789626,-0.18502640773,0.104999966787
37.564339428,1.34801789626,-0.18502640773,0.104999966787
37.764182968,1.36002834031,-0.203272589518,0.122666755013
37.965757587,1.36063322776,-0.204190169268,0.104999920497
38.165580646,1.36063321919,-0.204190177904,0.104999901116
38.364341742,1.36063321919,-0.204190177904,0.104999901116
38.56376687,1.36063321919,-0.204190177904,0.104999901116
38.764734615,1.36063315225,-0.204189759965,0.104999570474
38.964575236,1.36128241052,-0.205171088976,0.107187973473
39.164504141,1.36502375442,-0.210825104943,0.117394231147
39.363975719,1.40929453214,-0.277700552269,0.148012574667
39.565519236,1.42641897082,-0.303566594321,0.105507763718
39.764059041,1.42641954058,-0.303566124137,0.105000105828
39.964159075,1.42641952433,-0.303566140021,0.105000076321
40.164555442,1.42641952433,-0.303566140021,0.105000076321
40.364559165,1.42641952433,-0.303566140021,0.105000076321
40.564314096,1.42641952433,-0.303566140021,0.105000076321
40.764714976,1.42641927029,-0.303565532459,0.104999043439
40.963826723,1.43498452711,-0.316303693698,0.117663068937
41.164262567,1.4691220536,-0.367067224117,0.146413397297
41.363677065,1.54210640574,-0.47557789491,0.153001846499
41.564636696,1.57704181057,-0.527510880508,0.106553509036
41.764261787,1.57704264707,-0.52751081053,0.105000660094
41.964904267,1.57704291643,-0.527510870588,0.105000709274
42.165130454,1.57704291643,-0.527510870588,0.105000709274
42.364501642,1.57704291643,-0.527510870588,0.105000709274
42.564532825,1.57704291643,-0.527510870588,0.105000709274
42.766255917,1.577042892,-0.52751059795,0.104999645475
42.964124917,1.57720191304,-0.527809695061,0.105409096911
43.163786832,1.61491775379,-0.598827705216,0.15044420686
43.364886681,1.63319385062,-0.633236186957,0.15509700155
43.564073978,1.68616311611,-0.732946572404,0.110534801868
43.76441776,1.68622659558,-0.733063619571,0.105000456153
43.969080918,1.68622684778,-0.733063669096,0.10500046711
44.164082318,1.68622684778,-0.733063669096,0.10500046711
44.364117124,1.68622684778,-0.733063669096,0.10500046711
44.563935054,1.68622684778,-0.733063669096,0.10500046711
44.763949886,1.68622684778,-0.733063669096,0.10500046711
44.96683646,1.6862268229,-0.733062479008,0.10499989326
45.163803047,1.69002408696,-0.743108169927,0.115185130424
45.364214682,1.74966807306,-0.90084199563,0.15395038987
45.565949611,1.76798232566,-0.949261283782,0.132035772228
45.765819939,1.7719863289,-0.959844853781,0.107565529569
45.963965738,1.77198781493,-0.959845514029,0.105000613205
46.167524102,1.77198778329,-0.959845515291,0.105000465893
46.364959664,1.77198778329,-0.959845515291,0.105000465893
46.564613786,1.77198778329,-0.959845515291,0.105000465893
46.763900614,1.77198778329,-0.959845515291,0.105000465893
46.964663692,1.77198788435,-0.959845322024,0.105000015578
47.163744374,1.77202076306,-0.959934000773,0.105151145001
47.365510066,1.80199183643,-1.04181374822,0.154776489985
47.564430364,1.83245296878,-1.12501055299,0.125453863098
47.764010236,1.83398143475,-1.129181535,0.105000085471
47.963706408,1.833981446,-1.12918152388,0.10500003727
48.166683235,1.83398142225,-1.12918152416,0.105000013304
48.364130181,1.83398141879,-1.1291815241,0.105000011187
48.563832631,1.83398141337,-1.12918152392,0.105000008785
48.764667905,1.83398141237,-1.12918152387,0.105000008524
48.964092407,1.83398141222,-1.12918152386,0.105000008493
49.167441316,1.83398141217,-1.12918152385,0.105000008485
49.363725862,1.83398141216,-1.12918152385,0.105000008484
49.564060678,1.83398141216,-1.12918152385,0.105000008483
49.763872069,1.83398141215,-1.12918152385,0.105000008483
49.963959842,1.83398140041,-1.12918153735,0.104999987351
50.163659171,1.83398147516,-1.12918150239,0.104999857054
50.363787997,1.83398159897,-1.12918142269,0.104999754666
50.563687252,1.83398205001,-1.12918109852,0.104999557412
50.763915313,1.83398255945,-1.12918071095,0.104999446157
50.964172652,1.83398296711,-1.12918039265,0.104999399621
51.166728706,1.83398365281,-1.12917984622,0.104999379063
51.363923767,1.83398463078,-1.12917904788,0.104999449111
51.563780609,1.8339853448,-1.12917845161,0.104999570454
51.764166516,1.83398598735,-1.1291779036,0.104999739581
51.96438019,1.83398651721,-1.12917744002,0.104999940174
52.164083916,1.83398690667,-1.12917708721,0.105000150735
52.364353506,1.83398714699,-1.12917685724,0.105000344734
52.563960788,1.83398723113,-1.12917676955,0.105000450107
52.764339741,1.83398727314,-1.12917671719,0.105000547481
52.965553125,1.8339872744,-1.12917671393,0.105000559204
53.164317895,1.8339872744,-1.12917671393,0.105000559204
53.364632158,1.8339872744,-1.12917671393,0.105000559204
53.564154972,1.8339872744,-1.12917671393,0.105000559204
53.763696723,1.8339872744,-1.12917671393,0.105000559204
53.964081918,1.8339872744,-1.12917671393,0.105000559204
54.164799441,1.8339872744,-1.12917671393,0.105000559204
54.365198585,1.8339872744,-1.12917671393,0.105000559204
54.564271312,1.8339872744,-1.12917671393,0.105000559204
54.764945977,1.8339872744,-1.12917671393,0.105000559204
54.964281098,1.8339872744,-1.12917671393,0.105000559204
55.164434137,1.8339872744,-1.12917671393,0.105000559204
55.364305421,1.8339872744,-1.12917671393,0.105000559204
55.564065638,1.8339872744,-1.12917671393,0.105000559204
55.763999943,1.8339872744,-1.12917671393,0.105000559204
55.963891834,1.8339872744,-1.12917671393,0.105000559204
56.166963495,1.8339872744,-1.12917671393,0.105000559204
56.364381365,1.8339872744,-1.12917671393,0.105000559204
56.563877796,1.8339872744,-1.12917671393,0.105000559204
56.764144047,1.8339872744,-1.12917671393,0.105000559204
56.965495935,1.8339872744,-1.12917671393,0.105000559204
57.164153925,1.8339872744,-1.12917671393,0.105000559204
57.364018554,1.8339872744,-1.12917671393,0.105000559204
57.564357329,1.8339872744,-1.12917671393,0.105000559204
57.763791736,1.8339872744,-1.12917671393,0.105000559204
57.963733375,1.8339872744,-1.12917671393,0.105000559204
58.164786416,1.8339872744,-1.12917671393,0.105000559204
58.363913608,1.8339872744,-1.12917671393,0.105000559204
58.566314532,1.8339872744,-1.12917671393,0.105000559204
58.766800384,1.8339872744,-1.12917671393,0.105000559204
58.964783671,1.8339872744,-1.12917671393,0.105000559204
59.168452641,1.8339872744,-1.12917671393,0.105000559204
59.374581655,1.8339872744,-1.12917671393,0.105000559204
